epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,785.434,1.09841,4.20719,1.6871,0.06556,0.39236,0.08859,0.05479,1.06242,4.71854,1.95215,0.000102942,0.000102942,0.000102942
2,1247.33,1.0342,3.48001,1.58106,0.59899,0.19707,0.18144,0.11671,1.32008,3.68377,2.49632,0.000203171,0.000203171,0.000203171
3,1709.2,1.10298,2.93157,1.60944,0.70362,0.25504,0.27465,0.17345,1.27085,3.47895,2.17852,0.000299269,0.000299269,0.000299269
4,2139.46,1.10991,2.55249,1.60352,0.56294,0.39848,0.35289,0.20399,1.41605,3.19119,2.2439,0.000294408,0.000294408,0.000294408
5,2648.66,1.03554,2.31567,1.55517,0.4988,0.39154,0.34927,0.21748,1.27371,3.02182,2.21882,0.00028821,0.00028821,0.00028821
6,3173.5,1.03431,2.18981,1.55106,0.58418,0.39426,0.42104,0.27356,1.18441,2.527,2.07024,0.000282013,0.000282013,0.000282013
7,3981.09,1.01404,2.06953,1.53216,0.59867,0.44122,0.44404,0.3051,1.1453,2.35826,1.98999,0.000275816,0.000275816,0.000275816
8,4649.05,1.00785,1.91646,1.50702,0.59806,0.41602,0.45123,0.28505,1.23099,2.59905,2.09218,0.000269618,0.000269618,0.000269618
9,5156.9,0.95973,1.83964,1.49404,0.61177,0.46296,0.49739,0.3137,1.25882,2.26824,2.10795,0.000263421,0.000263421,0.000263421
10,5629.53,0.97248,1.79492,1.49299,0.64765,0.40712,0.48761,0.30939,1.1883,2.08629,2.0392,0.000257223,0.000257223,0.000257223
11,6301.16,0.93467,1.71944,1.47207,0.69428,0.44563,0.53752,0.34647,1.14618,2.13621,1.98077,0.000251026,0.000251026,0.000251026
12,7050.53,0.94277,1.64004,1.47016,0.71745,0.47613,0.57951,0.37067,1.17964,1.87745,1.97209,0.000244829,0.000244829,0.000244829
13,7693.15,0.92872,1.56031,1.45653,0.67764,0.48362,0.56244,0.36126,1.2445,1.88953,2.10303,0.000238631,0.000238631,0.000238631
14,8139.49,0.94861,1.49173,1.46586,0.61792,0.49423,0.56233,0.36845,1.15847,1.77222,2.02104,0.000232434,0.000232434,0.000232434
15,8640.21,0.90572,1.46917,1.43468,0.71252,0.48775,0.58352,0.39065,1.10504,1.79665,1.9306,0.000226236,0.000226236,0.000226236
16,9105.09,0.92122,1.39123,1.43809,0.73865,0.47885,0.56856,0.37832,1.16474,1.81302,1.96605,0.000220039,0.000220039,0.000220039
17,9562.11,0.90989,1.39185,1.44293,0.71841,0.51144,0.58546,0.38798,1.15047,1.77636,1.96135,0.000213842,0.000213842,0.000213842
18,10126.9,0.88115,1.3414,1.41718,0.68499,0.52849,0.59246,0.39141,1.13805,1.7046,1.98462,0.000207644,0.000207644,0.000207644
19,10641.9,0.87975,1.34063,1.41756,0.78082,0.51237,0.61895,0.39702,1.21933,1.63724,2.03328,0.000201447,0.000201447,0.000201447
20,11281.6,0.84938,1.29689,1.39079,0.76642,0.51775,0.61872,0.41956,1.11272,1.5057,1.91993,0.000195249,0.000195249,0.000195249
